KPI_1,KPI_4,KPI_5,KPI_6,KPI_9,KPI_10,KPI_11,KPI_12,KPI_15,KPI_16
0.326,28895663.293,3784720.882,14996.986,19158.000,0.000,0.000,24.000,28895.663,3784.721
0.079,9323255.697,355422.939,29790.436,62312.000,0.000,0.000,12.000,9323.256,355.423
0.022,3159686.901,126321.705,21048.372,24954.000,0.000,0.000,9.000,3159.687,126.322
0.003,139902.499,13776.311,2113.423,10534.000,0.000,0.000,4.000,139.902,13.776
0.458,52816391.797,2405649.992,19056.597,18996.000,0.000,0.000,27.000,52816.392,2405.650
0.129,6538336.254,6845008.832,9449.880,14288.000,0.000,0.000,15.000,6538.336,6845.009
0.237,41992953.910,1099470.898,27758.873,20981.000,0.000,0.000,26.000,41992.954,1099.471
0.316,28375912.801,1261342.480,18613.156,23330.000,0.000,0.000,28.000,28375.913,1261.342
0.972,64197591.866,6972748.423,17221.314,25296.000,0.000,0.000,71.000,64197.592,6972.748
0.705,50338599.007,3195142.283,20790.682,24620.000,0.000,0.000,52.000,50338.599,3195.142
0.270,19961872.067,1577463.227,18345.812,46724.000,0.000,0.000,37.000,19961.872,1577.463
0.792,89156955.835,6398915.211,29367.012,64957.000,0.000,0.000,88.000,89156.956,6398.915
0.408,47967706.408,3310365.272,29126.006,36412.000,0.000,0.000,57.000,47967.706,3310.365
0.106,7599386.918,256973.640,33463.655,31509.000,0.000,0.000,9.000,7599.387,256.974
0.104,1735643.603,362836.956,12538.750,44864.000,0.000,0.000,11.000,1735.644,362.837
0.062,976346.945,133514.267,12293.116,37018.000,0.000,0.000,11.000,976.347,133.514
0.250,18154594.041,1167128.579,13240.390,20866.000,0.000,0.000,41.000,18154.594,1167.129
0.193,7335818.531,1268528.396,6690.983,20700.000,0.000,0.000,24.000,7335.819,1268.528
0.991,92909376.498,5868466.640,21597.862,22376.000,0.000,0.000,62.000,92909.376,5868.467
0.818,43464404.614,4739027.744,20213.842,58476.000,0.000,0.000,99.000,43464.405,4739.028
0.417,24339100.901,2050611.755,22824.742,44281.000,0.000,0.000,77.000,24339.101,2050.612
0.633,50798283.544,3476501.057,22752.137,50561.000,0.000,0.000,62.000,50798.284,3476.501
0.531,33564820.544,2691289.051,15594.901,19638.000,0.000,0.000,51.000,33564.821,2691.289
0.709,44629424.795,2441666.198,12802.899,20581.000,0.000,0.000,49.000,44629.425,2441.666
0.647,38899713.321,2976864.149,16629.268,20864.000,0.000,0.000,56.000,38899.713,2976.864
0.390,33839193.280,2315608.636,20885.311,47974.000,0.000,0.000,83.000,33839.193,2315.609
0.032,1867962.933,134250.906,9479.760,13378.000,0.000,0.000,14.000,1867.963,134.251
0.229,39010672.172,1402045.199,30954.516,30324.000,0.000,0.000,35.000,39010.672,1402.045
0.377,18308211.229,1652515.418,13524.882,26677.000,0.000,0.000,36.000,18308.211,1652.515
0.856,49155875.026,5940892.797,17067.845,27605.000,0.000,0.000,51.000,49155.875,5940.893
0.122,3957123.611,204749.270,16025.691,28343.000,0.000,0.000,9.000,3957.124,204.749
0.092,6361302.353,587422.673,21678.218,42193.000,0.000,0.000,16.000,6361.302,587.423
0.228,12379492.351,1160194.876,21505.396,46449.000,0.000,0.000,25.000,12379.492,1160.195
0.151,5471951.834,404544.590,15575.922,39873.000,0.000,0.000,19.000,5471.952,404.545
0.936,58010877.442,3598135.268,15760.625,20652.000,0.000,0.000,48.000,58010.877,3598.135
0.649,51829853.268,2613375.899,17017.933,20798.000,0.000,0.000,48.000,51829.853,2613.376
0.700,36053709.093,2623607.636,14039.585,18750.000,0.000,0.000,50.000,36053.709,2623.608
0.093,7254297.953,518793.344,9836.723,27585.000,0.000,0.000,25.000,7254.298,518.793
0.135,12760698.710,759213.395,20172.199,54548.000,0.000,0.000,27.000,12760.699,759.213
0.104,5717489.295,445803.474,12061.883,34117.000,0.000,0.000,15.000,5717.489,445.803
0.373,21009936.725,1783500.546,9527.181,20101.000,0.000,0.000,33.000,21009.937,1783.501
1.947,65792645.323,4905654.835,10265.576,21734.000,0.000,0.000,77.000,65792.645,4905.655
0.676,32638745.467,2011913.608,15265.974,28182.000,0.000,0.000,41.000,32638.745,2011.914
0.349,91087410.892,3546690.125,41446.926,65348.000,0.000,0.000,30.000,91087.411,3546.690
0.239,24174960.228,1398364.763,26960.510,45352.000,0.000,0.000,30.000,24174.960,1398.365
1.111,90605279.425,4578299.975,20950.516,21072.000,0.000,0.000,55.000,90605.279,4578.300
0.364,20328537.388,2378952.185,11232.726,20313.000,0.000,0.000,37.000,20328.537,2378.952
