DATE,ID_0048TE-ID_0048T11#KPI_1,ID_1574AE-ID_1574A11#KPI_1,ID_1574AE-ID_1574A11#KPI_10,ID_0048TE-ID_0048T11#KPI_12,ID_1574AE-ID_1574A11#KPI_12,ID_0048TE-ID_0048T11#KPI_15,ID_1574AE-ID_1574A11#KPI_15,ID_0048TE-ID_0048T11#KPI_4,ID_1574AE-ID_1574A11#KPI_4
21-04-2019,0.37,0.604,0,35,59,69054.629,83053.178,69054629.05,83053177.84
22-04-2019,0.457,0.436,0,28,40,102037.207,69279.551,102037207,69279551.4
23-04-2019,0.442,0.464,0,22,34,86616.808,62766.526,86616808.22,62766526.29
24-04-2019,0.41,0.374,0,20,36,65492.677,50649.028,65492676.53,50649027.74
25-04-2019,0.258,0.395,0,21,38,46699.6,60044.598,46699599.57,60044598.08
26-04-2019,0.388,0.412,0,19,34,89931.57,77470.777,89931570.49,77470777.17
27-04-2019,0.283,0.597,0,20,34,69414.234,113106.63,69414234.36,113106630.4
28-04-2019,0.368,0.351,0,24,27,93406.797,78573.827,93406796.78,78573827.14
29-04-2019,0.271,0.337,0,19,26,46854.75,59764.764,46854750.4,59764763.63
30-04-2019,0.272,0.272,0,28,32,38681.213,42332.535,38681213,42332534.62
01-05-2019,0.367,0.344,0,22,30,61823.843,50736.822,61823843.06,50736822.18
02-05-2019,0.376,0.451,0,25,35,74972.726,60273.035,74972725.74,60273035.39
03-05-2019,0.362,0.448,0,23,35,66663.77,64948.108,66663769.77,64948107.8
04-05-2019,0.296,0.266,0,23,31,67691.779,32554.523,67691778.61,32554522.77
05-05-2019,0.34,0.351,0,32,31,62093.408,50679.132,62093408.43,50679132.33
06-05-2019,0.35,0.473,0,20,38,76027.104,61219.959,76027103.79,61219959.49
07-05-2019,0.373,0.521,0,22,36,72397.872,56836.702,72397871.7,56836701.59
08-05-2019,0.436,0.489,0,23,41,84644.025,59900.909,84644025,59900909.04
09-05-2019,0.376,0.529,0,24,37,63071.886,71232.088,63071886.16,71232088.22
10-05-2019,0.31,0.423,0,26,37,52979.189,61191.626,52979188.72,61191626.12
11-05-2019,0.464,0.435,0,26,47,97608.798,67878.656,97608797.95,67878656.14
12-05-2019,0.432,0.584,0,24,43,84636.697,93441.569,84636697.45,93441568.84
13-05-2019,0.366,0.486,0,22,40,62483.452,58933.119,62483452.39,58933118.88
14-05-2019,0.31,0.43,0,21,41,75477.074,61293.313,75477073.54,61293312.67
15-05-2019,0.424,0.448,0,27,34,92932.909,60133.294,92932908.99,60133293.55
16-05-2019,0.309,0.405,0,21,34,84072.017,65452.473,84072017.21,65452472.53
17-05-2019,0.369,0.557,0,28,45,96057.299,103795.661,96057298.58,103795661.3
18-05-2019,0.347,0.633,0,26,43,66134.078,126483.02,66134077.66,126483020.1
19-05-2019,0.319,0.5,0,25,40,73402.109,105890.62,73402109.19,105890619.7
20-05-2019,0.324,0.423,0,21,43,71318.162,38424.471,71318162.27,38424470.63
21-05-2019,0.357,0.393,0,26,48,77719.809,39786.232,77719809.19,39786232.43
22-05-2019,0.41,0.417,0,20,43,95025.216,38580.925,95025216.27,38580925.43
23-05-2019,0.336,0.46,0,27,50,81303.531,53802.217,81303530.8,53802216.75
24-05-2019,0.284,0.564,0,23,55,44815.988,63378.269,44815988.39,63378269.31
25-05-2019,0.326,0.558,0,24,60,91058.902,85696.104,91058901.55,85696104.41
26-05-2019,0.39,0.59,0,23,91,74559.217,68572.172,74559217.19,68572172.15
27-05-2019,0.286,0.471,0,18,41,51167.046,43569.712,51167045.57,43569712.2
28-05-2019,0.263,0.439,0,27,38,52242.204,39676.712,52242203.62,39676711.9
29-05-2019,0.247,0.376,0,24,46,26195.266,32750.484,26195266.23,32750484.04
30-05-2019,0.282,0.461,0,33,67,50489.935,53991.518,50489934.57,53991517.79
31-05-2019,0.231,0.625,0,28,70,34502.054,74329.19,34502054.4,74329190.47
01-06-2019,0.342,0.62,0,31,61,96819.089,99506.481,96819088.6,99506481.01
02-06-2019,0.274,0.546,0,46,52,50546.169,73704.015,50546168.78,73704015.27
03-06-2019,0.366,0.411,0,19,47,71086.446,38513.274,71086446.12,38513273.63
04-06-2019,0.282,0.402,0,23,42,69925.175,33340.929,69925174.96,33340929
05-06-2019,0.424,0.45,0,26,45,80964.32,41193.564,80964320.09,41193564.42
06-06-2019,0.362,0.475,0,23,219,78318.847,57653.611,78318847.44,57653611.3
07-06-2019,0.266,0.632,0,24,63,47390.421,79678.625,47390421.06,79678625.06
08-06-2019,0.591,0.803,0,57,74,101408.902,118268.043,101408902.1,118268043.4
09-06-2019,0.454,0.979,0,29,59,113100.717,138795.937,113100716.7,138795937.1
10-06-2019,0.3,0.671,0,29,45,57001.66,116590.92,57001660.33,116590919.8
11-06-2019,0.388,0.521,0,22,40,72009.024,87798.615,72009023.92,87798614.69
12-06-2019,0.297,0.794,0,25,61,66138.208,104104.302,66138208.31,104104302.5
13-06-2019,0.311,0.789,0,23,70,59607.593,103190.769,59607592.63,103190768.9
14-06-2019,0.32,0.988,0,24,69,62555.319,121592.679,62555319.28,121592679.3
15-06-2019,0.323,0.584,0,27,92,75364.953,63860.249,75364953.21,63860249.46
16-06-2019,0.295,0.672,0,22,66,49587.051,105502.752,49587050.97,105502752.2
17-06-2019,0.603,0.811,0,24,59,105504.738,113458.867,105504738.1,113458867.1
18-06-2019,0.382,0.48,0,23,58,74519.739,58525.195,74519739.14,58525195.41
19-06-2019,0.387,0.515,0,23,68,68951.332,53583.197,68951332.32,53583196.91
20-06-2019,0.304,0.587,0,22,66,58273.553,60961.558,58273553,60961557.98
21-06-2019,0.396,0.608,0,24,70,95052.821,65301.006,95052820.59,65301005.6
